"Reference","Qty","Value","Footprint","DNP"
"C1,C5,C7","3","0.47u","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"C2","1","250p","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C3","1","100p","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C4,C6","2","47n","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"C8","1","68n","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"C9","1","0.01u","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"C10","1","0.047u","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"C11","1","0.022u","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"C12","1","1u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"C13","1","0.1u","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"C14","1","100u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"C15","1","47u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"D1,D2,D3","3","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"D4","1","1N4004","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"J1","1","LED_CON","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",""
"J2","1","INPUT JACK","Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical",""
"J3","1","OUTPUT JACK","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",""
"J4","1","Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Horizontal",""
"J5","1","3PDT_SW","Connector_JST:JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical",""
"J6","1","9V Battery","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",""
"Q1,Q2,Q3","3","2N3904","2N3904:TO92254P460H750-3",""
"R1,R9,R18,R20,R22,R23","6","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R2,R25","2","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R3,R5","2","470k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R4,R10,R11,R13,R19","5","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R6,R17","2","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R7,R21","2","2.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R8","1","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R12","1","22","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R14,R15","2","1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R16,R24","2","6.8k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"RV1,RV3","2","100kB","Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical",""
"RV2","1","20kB","Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical",""
"U1","1","TL072","Package_DIP:DIP-8_W7.62mm_Socket_LongPads",""
